frame	x	y	id	time	velocity	angle
1	-10.1459	-5.49849	0	0.133333	0	0
1	-4.34558	-6.34297	1	0.133333	0	0
1	5.90316	1.55515	2	0.133333	0	0
1	2.04703	0.073472	3	0.133333	0	0
1	3.06014	-3.05888	4	0.133333	0	0
1	-2.48241	-0.908008	5	0.133333	0	0
1	2.22576	-5.89266	6	0.133333	0	0
1	-0.0593031	-3.50174	7	0.133333	0	0
1	-3.39952	-6.13617	8	0.133333	0	0
1	-9.71103	-6.44972	9	0.133333	0	0
1	-1.0185	-1.76842	10	0.133333	0	0
1	-8.60026	-0.227505	11	0.133333	0	0
1	-12.7105	-0.334145	12	0.133333	0	0
1	-9.89041	-0.512093	13	0.133333	0	0
1	-12.0114	0.306144	14	0.133333	0	0
1	-4.71562	1.25353	15	0.133333	0	0
1	-3.0047	6.26403	16	0.133333	0	0
1	0.0677389	3.37033	17	0.133333	0	0
1	1.87961	2.75878	18	0.133333	0	0
1	2.21777	3.83514	19	0.133333	0	0
1	5.4491	6.70024	20	0.133333	0	0
1	5.55088	6.15593	21	0.133333	0	0
1	8.385	1.55602	22	0.133333	0	0
1	8.01457	-0.945949	23	0.133333	0	0
1	10.9182	0.0438091	24	0.133333	0	0
2	-10.1751	-5.52636	0	0.266667	0.30249666729578684	43.664979925574805
2	-4.54323	-6.25291	1	0.266667	1.6289820451897317	-24.496568771848544
2	5.98482	1.38214	2	0.266667	1.4348562149752586	115.2671155002216
2	1.84809	0.106502	3	0.266667	1.5124717624666253	-9.426823836941097
2	3.03679	-2.83014	4	0.266667	1.7244836321173063	-84.17138131896508
2	-2.64897	-0.70455	5	0.266667	1.972022102346488	-50.69467882754808
2	2.05856	-5.71772	6	0.266667	1.8149659306243524	-46.295942319881114
2	0.000303002	-3.38898	7	0.266667	0.956571529532705	-117.861393291325
2	-3.34378	-6.19448	8	0.266667	0.6049889970042834	133.70911672622532
2	-9.851	-6.33244	9	0.266667	1.3696015647754365	-39.95943396617964
2	-0.927155	-1.51375	10	0.266667	2.02919407844891	-109.73188782750941
2	-8.48621	-0.230087	11	0.266667	0.855582896539448	178.70309130950986
2	-12.7403	-0.390523	12	0.266667	0.4782854232982334	62.14019043540135
2	-9.88782	-0.398044	13	0.266667	0.8555831947652152	-91.30093702184152
2	-12.0639	0.50702	14	0.266667	1.5571847280087747	-75.35307375916295
2	-4.57564	1.13625	15	0.266667	1.3696015647754325	140.04258106615228
2	-3.03256	6.29319	16	0.266667	0.3024944985021453	-46.306061238615925
2	0.155212	3.45393	17	0.266667	0.9074828038117189	-136.29695656433833
2	1.68196	2.84883	18	0.266667	1.6289820451897254	-24.494168261266164
2	2.33311	3.88958	19	0.266667	0.9565705965553453	-154.7328844997785
2	5.25016	6.73327	20	0.266667	1.5124717526392422	-9.426823836941148
2	5.7226	6.18057	21	0.266667	1.301077715867361	-171.83439956414495
2	8.44074	1.4977	22	0.266667	0.6049884548078663	133.70420912093311
2	8.16036	-0.806616	23	0.266667	1.5124720261381113	-136.2973194808144
2	11.0899	0.0684485	24	0.266667	1.3010754034582037	-171.83365742411243
3	-10.1206	-5.6417	0	0.400000	0.9565725174164753	115.29148565909176
3	-4.6845	-6.19266	1	0.400000	1.1518635512536268	-23.097679819966253
3	6.09435	1.17997	2	0.400000	1.7244834587449671	118.44758461339578
3	1.67702	0.110375	3	0.400000	1.2833747188644298	-1.2969465833331089
3	3.09769	-2.66035	4	0.400000	1.352795816978422	-109.73181204492288
3	-2.75979	-0.559407	5	0.400000	1.3696010526690823	-52.637438264948095
3	1.94774	-5.57258	6	0.400000	1.3696011122796197	-52.6368670446863
3	0.115642	-3.33454	7	0.400000	0.9565709198043846	-154.7326923661831
